GC	overallBiases	overallSkews	AT1	GC1	AT2	GC2	AT4	GC4	aaAvgCost	aaAvgCost_Aer_Het	aaAvgCost_An_Het	aaAvgCost_Aer_Phot	aaAvgCost_An_Phot
10.600002	80	0.6	0.7081668	0.637535	0.5107167	0.44398543	0.6073503	0.5944621	27.238914	31.187952	10.067571	31.270367	10.164676
10.600002	85	0.7	0.7949566	0.7267838	0.65376425	0.6013602	0.6917383	0.68593913	27.22853	30.97248	10.325571	31.018652	10.377616
10.600002	90	0.8	0.8728898	0.815553	0.784285	0.7489029	0.8063441	0.8011418	27.409933	30.984035	10.559328	31.004951	10.581901
10.700003	10	-0.8	-0.7985285	-0.79117286	-0.835672	-0.8375568	-0.80102116	-0.80118126	42.152218	50.014595	8.45263	51.332367	10.94189
10.700003	15	-0.7	-0.6970289	-0.6795842	-0.77185553	-0.7798823	-0.6993145	-0.7032341	40.606205	48.233746	8.434876	49.426888	10.624132
10.700003	20	-0.6	-0.5940197	-0.5718378	-0.7124393	-0.7175996	-0.6017248	-0.5969125	39.120865	46.506474	8.427067	47.582806	10.344399
10.700003	25	-0.5	-0.48847458	-0.46233884	-0.65815896	-0.66320264	-0.5013755	-0.4902207	37.700314	44.8369	8.450785	45.80261	10.117649
10.700003	30	-0.4	-0.38167673	-0.35151687	-0.59924996	-0.6069194	-0.3990331	-0.40423065	36.283993	43.147873	8.4852085	44.00543	9.922873
10.700003	35	-0.3	-0.27158147	-0.2427654	-0.5398717	-0.55471486	-0.29852718	-0.27814087	34.929028	41.506252	8.539387	42.26255	9.765615
10.700003	40	-0.2	-0.15903248	-0.13768099	-0.4726135	-0.48560864	-0.19911897	-0.1921905	33.63598	39.922832	8.624369	40.582108	9.658053
10.700003	45	-0.1	-0.046416014	-0.02782175	-0.38948146	-0.42092702	-0.10286995	-0.108190335	32.4135	38.397655	8.72797	38.964108	9.588803
10.700003	50	0.0	0.06780593	0.07309426	-0.29740632	-0.3363252	-0.0032983695	-0.0015743899	31.258854	36.931736	8.845689	37.409775	9.546666
10.700003	55	0.1	0.1816029	0.17066069	-0.19139978	-0.23321554	0.10046363	0.09810081	30.207415	35.568504	9.000993	35.963055	9.561401
